Project Number,Sector,Province,Name,Amount
93759,ARTS,EASTERN CAPE,Raymond And Dideka Mhlaba Foundation,199992.0
73416,ARTS,EASTERN CAPE,Arts And Teaching Initiatives NPC,343132.0
73868,ARTS,EASTERN CAPE,Eastern Cape Philharmonic Society,380000.0
72818,ARTS,EASTERN CAPE,The Swallows Foundation (SA),531750.0
73023,ARTS,EASTERN CAPE,Action Group For Children In Distress,299800.0
93454,ARTS,EASTERN CAPE,Masumpa Heritage Hub NPC,770380.0
86391,ARTS,EASTERN CAPE,Ingomso Film Skills And Youth Development,1502798.8
56444,ARTS,EASTERN CAPE,Rural Support Services,380000.0
73189,ARTS,EASTERN CAPE,Keiskamma Trust,1520000.0
74653,ARTS,EASTERN CAPE,Afesis-Corplan,7999341.6
90486,ARTS,EASTERN CAPE,Nelson Mandela Bay Tourism,760000.0
72948,ARTS,EASTERN CAPE,Cradock Preparatory School,472729.57
73455,ARTS,EASTERN CAPE,National English Literacy Museum,750000.0
74383,ARTS,EASTERN CAPE,Nelson Mandela Metropolitan - Faculty Of Art,1200000.0
35118,ARTS,EASTERN CAPE,Walter Sisulu University,2959618.0
74646,ARTS,EASTERN CAPE,Nomadambe Junior Secondary School,100000.0
90857,ARTS,EASTERN CAPE,National Arts Festival Grahamstown,8000000.0
74655,ARTS,EASTERN CAPE,Isivivane Senior Secondary School,200000.0
74636,ARTS,EASTERN CAPE,Eastern Cape Provincial Arts And Culture Council,665000.0
73982,ARTS,EASTERN CAPE,Royal School Of Church Music (Eastern Cape Branch),483036.0
43857,ARTS,EASTERN CAPE,Arts & Print Media Development Centre,298260.0
79499,ARTS,EASTERN CAPE,V.M. Kwinana High School,50011.8
74650,ARTS,EASTERN CAPE,Gungubelepjss,110000.0
74372,ARTS,EASTERN CAPE,Afesis-Corplan,550000.0
74685,ARTS,EASTERN CAPE,Grey Boys' Primary School,200000.0
74338,ARTS,EASTERN CAPE,Generation Active,360000.0
46092,ARTS,EASTERN CAPE,Rhodes University,635940.0
56433,ARTS,EASTERN CAPE,West Bank High School,59566.0
90857,ARTS,EASTERN CAPE,National Arts Festival Grahamstown,2000000.0
74672,ARTS,EASTERN CAPE,Lulutho Grooming School For Girls,1598496.25
74184,ARTS,EASTERN CAPE,Rhodes University,359992.4
74678,ARTS,EASTERN CAPE,Stirling High School,760000.0
73790,ARTS,EASTERN CAPE,Sincede Women's Project,651022.4
74273,ARTS,EASTERN CAPE,South African Marine Rehabilitation And Education Centre Trust,760000.0
74796,ARTS,EASTERN CAPE,S'hlangene Dancers,220000.0
73641,ARTS,EASTERN CAPE,The Swallows Foundation (SA),1999948.0
93462,ARTS,EASTERN CAPE,Goduka  Boyana Mpatalala Music Academy,220000.0
73870,ARTS,EASTERN CAPE,East London Guild Theatre,3562702.99
51076,ARTS,EASTERN CAPE,The Robert Mangaliso Sobukwe Trust,1088750.0
92890,ARTS,EASTERN CAPE,King Sandile Development Foundation NPC,1558500.0
93786,ARTS,EASTERN CAPE,Kumkani Fm,90000.0
92831,ARTS,EASTERN CAPE,Ngangelizwe High School,99636.0
92832,ARTS,EASTERN CAPE,Dilizintaba Senior Secondary School,99636.0
92830,ARTS,EASTERN CAPE,Mdibaniso Senior Secondary School,99636.0
93780,ARTS,EASTERN CAPE,Lathitha Development Centre NPC,56400.0
92829,ARTS,EASTERN CAPE,Bulembu Primary School,99408.0
97129,ARTS,EASTERN CAPE,Ekhephini Community Radio NPC,181977.6
58133,CHARITIES,EASTERN CAPE,Little Flower Pre School,86500.0
66785,CHARITIES,EASTERN CAPE,Vision Care,584026.0
67968,CHARITIES,EASTERN CAPE,Ukhamba Projects,497899.0
54472,CHARITIES,EASTERN CAPE,Noluthando Junior Secondary School,385663.0
56887,CHARITIES,EASTERN CAPE,Sabata SSS,807151.0
86096,CHARITIES,EASTERN CAPE,Port Elizabeth Mental Health,2904974.0
85988,CHARITIES,EASTERN CAPE,Nkosinathi Foundation Of And For Blind And Partially Sighted People,1465564.0
86088,CHARITIES,EASTERN CAPE,Camdeboo Hospice,959124.0
90858,CHARITIES,EASTERN CAPE,Noxolo Day Care Centre,399719.0
70030,CHARITIES,EASTERN CAPE,Phumelela Special Care Centre,295185.0
88254,CHARITIES,EASTERN CAPE,Phumelela Special Care Centre,464000.0
90631,CHARITIES,EASTERN CAPE,Christelike-Maatskaplike Raad Van Die NG Kerk Van King William,237710.0
72706,CHARITIES,EASTERN CAPE,Aliwal Diocese Welfare And Development Commitee,196500.0
86085,CHARITIES,EASTERN CAPE,Christelik-Maatskaplike Raad Van Port Elizabeth,1224220.0
85994,CHARITIES,EASTERN CAPE,The Umtata Child Abuse Resource Centre,2212753.0
86166,CHARITIES,EASTERN CAPE,Families South Africa: Port Elizabeth,1531650.0
86219,CHARITIES,EASTERN CAPE,Algoa Bay Council For The Aged,1271750.0
88366,CHARITIES,EASTERN CAPE,Ikhwezi Mphatlalatsane Community Organisation,714160.0
86208,CHARITIES,EASTERN CAPE,The Integrated Community Development Programme Trust,678950.0
69763,CHARITIES,EASTERN CAPE,Popeye's Day Care Centre,88370.0
71839,CHARITIES,EASTERN CAPE,Nobandla Nursery And Pre-School,165446.0
88431,CHARITIES,EASTERN CAPE,Peddie Family Resource Centre,200000.0
90817,CHARITIES,EASTERN CAPE,Child Welfare South Africa Port St. Johns,577060.0
82369,CHARITIES,EASTERN CAPE,Sikhulile Day Care Centre,1050000.0
85981,CHARITIES,EASTERN CAPE,Missionvale Care Centre,1066000.0
88359,CHARITIES,EASTERN CAPE,Bethany Home,1835534.0
90855,CHARITIES,EASTERN CAPE,Sihlangene Project,994688.0
88273,CHARITIES,EASTERN CAPE,Institute Of Training And Education For Capacity Building,928661.0
88387,CHARITIES,EASTERN CAPE,Morning Star Day & After Care Centre,603000.0
81888,CHARITIES,EASTERN CAPE,Mthombolwazi Day Care Centre (Rebumision),805000.0
85984,CHARITIES,EASTERN CAPE,Ikhwezi Lokusa Rehabilitation And Development Society,1798176.0
66234,CHARITIES,EASTERN CAPE,Masikhonzane Pre-School,67125.0
88346,CHARITIES,EASTERN CAPE,Ikamv'Elihle Rehabilitation Centre,617998.0
69909,CHARITIES,EASTERN CAPE,Makukhanye Day Care Organisation,105553.0
88280,CHARITIES,EASTERN CAPE,The Haven Wellness Centre,526500.0
72069,CHARITIES,EASTERN CAPE,Sakhimpilo Home Community Based Care Project,278250.0
80709,CHARITIES,EASTERN CAPE,Lutshaya Pre-School,1266667.0
81007,CHARITIES,EASTERN CAPE,Nceduluntu Pre School,1266667.0
81300,CHARITIES,EASTERN CAPE,Sneeuwitjie Early Childhood Development Centre,1266667.0
81810,CHARITIES,EASTERN CAPE,Lonwabo Day Care Centre,1266667.0
82283,CHARITIES,EASTERN CAPE,Siyazama Day Care Centre,1266667.0
82346,CHARITIES,EASTERN CAPE,Lovedale Day Care Centre,1266667.0
82442,CHARITIES,EASTERN CAPE,Ebenezer Educare Centre For Able & Disabled,1266667.0
82593,CHARITIES,EASTERN CAPE,Seventh Day Educare Centre,1266667.0
70172,CHARITIES,EASTERN CAPE,Sibahle Day Care Centre,145336.0
86098,CHARITIES,EASTERN CAPE,Rehabilitate Employment And Accomodation Charitable Centre,279597.0
86998,CHARITIES,EASTERN CAPE,Revive-Empowering Emotional Change,636272.0
89557,CHARITIES,EASTERN CAPE,Nonkuthalo Day - Care Centre,99550.0
91145,CHARITIES,EASTERN CAPE,Ikamva Lethu Day Care Centre,88000.0
95601,CHARITIES,EASTERN CAPE,Flagstaff Community Advice Centre,184000.0
82454,CHARITIES,EASTERN CAPE,Mavuso Pre-School,1266667.0
86840,CHARITIES,EASTERN CAPE,East London Child And Youth Care Centre,887706.0
96830,CHARITIES,EASTERN CAPE,Full Gospel Day Care Centre,70000.0
101759,CHARITIES,EASTERN CAPE,Isidima Somntomdala Service Centre,88500.0
101969,CHARITIES,EASTERN CAPE,Lingelihle Day Care Centre,115200.0
103167,CHARITIES,EASTERN CAPE,Olutsha Development Initiatives,150000.0
95309,CHARITIES,EASTERN CAPE,Hlolweni Pre-School,142550.0
85918,CHARITIES,EASTERN CAPE,Eastern Cape Disability Economic Empowerment Trust,2637500.0
88200,CHARITIES,EASTERN CAPE,Sinomonde Old Age Club,411500.0
88322,CHARITIES,EASTERN CAPE,Zamani Training Centre For The Intellectual Disabilities,572185.0
103110,CHARITIES,EASTERN CAPE,Down Syndrome Association Amathole,272225.0
81781,CHARITIES,EASTERN CAPE,Masivuke Day-Care & Pre-School,805000.0
82317,CHARITIES,EASTERN CAPE,Lukhanyo Edu Care Centre,805000.0
82373,CHARITIES,EASTERN CAPE,Rocklands Day Care Centre,805000.0
88219,CHARITIES,EASTERN CAPE,McClelland Adult Centre For The Intellectually Impaired,613961.0
88250,CHARITIES,EASTERN CAPE,Step Ahead Early Childhood Development Centre,239450.0
79112,CHARITIES,EASTERN CAPE,Dalrose Primary School,235476.0
88330,CHARITIES,EASTERN CAPE,The Animal Welfare Society (Port Elizabeth),418950.0
87010,CHARITIES,EASTERN CAPE,Callie Evens Lodge,106800.0
87122,CHARITIES,EASTERN CAPE,Child Welfare South Africa: Tsolwana And Sparrows Child And Youth Care Centre,550000.0
88398,CHARITIES,EASTERN CAPE,Kwa-Nomzamo Home Community Based Care,150000.0
88480,CHARITIES,EASTERN CAPE,Grahamstown Tb Care Society,570654.0
88505,CHARITIES,EASTERN CAPE,Empilisweni HIV / Aids And Orphans Care Centre,3095405.0
89337,CHARITIES,EASTERN CAPE,Kubusie Day Care Centre,67250.0
87113,CHARITIES,EASTERN CAPE,Family Restoration Services,971137.0
86002,CHARITIES,EASTERN CAPE,Gadra Educational Welfare,905000.0
89775,CHARITIES,EASTERN CAPE,Sinethemba Organisation,428000.0
90040,CHARITIES,EASTERN CAPE,Hospice Association Of Transkei (Hat),1158210.0
101633,CHARITIES,EASTERN CAPE,Nobuntu Educare Centre,103500.0
82422,CHARITIES,EASTERN CAPE,Noluvuyo Pre-School ( Resubmision),1266667.0
91365,CHARITIES,EASTERN CAPE,Ukhanyo Edu-Care Centre,100000.0
86864,CHARITIES,EASTERN CAPE,Berea Gardens Retirement Foundation,70000.0
90497,CHARITIES,EASTERN CAPE,Mzomtsha Children's Home,645000.0
95151,CHARITIES,EASTERN CAPE,Happy Hearts Playgroup,170000.0
95417,CHARITIES,EASTERN CAPE,Ngqushwa Special Needs Service Centre,79200.0
96800,CHARITIES,EASTERN CAPE,Phumlani Day Care Centre,167600.0
90042,CHARITIES,EASTERN CAPE,The Nelson Mandela Institute For Education And Rural Development Trust,251875.0
